new_code,description,emep_code,emep_description,ipcc_code,ipcc_description
,,,,,
1,1 - Energy | 1.A - Fuel Combustion Activities | 1.A.1 - Energy Industries | 1.A.1.a - Main Activity Electricity and Heat Production | 1.A.1.a.i - Electricity Generation,,,1,1 - Energy | 1.A - Fuel Combustion Activities | 1.A.1 - Energy Industries | 1.A.1.a - Main Activity Electricity and Heat Production | 1.A.1.a.i - Electricity Generation
1.A,1.A - Fuel Combustion Activities,,,1.A,1.A - Fuel Combustion Activities
1.A.1,1.A.1 - Energy Industries,,,1.A.1,1.A.1 - Energy Industries
1.A.1.a,1.A.1.a - Main Activity Electricity and Heat Production | 1.A.1.a.i - Electricity Generation | 1.A.1.a.ii - Combined Heat and Power Generation (CHP) | 1.A.1.a.iii - Heat Plants,1.A.1.a,Public electricity and heat production,1.A.1.a,1.A.1.a - Main Activity Electricity and Heat Production | 1.A.1.a.i - Electricity Generation | 1.A.1.a.ii - Combined Heat and Power Generation (CHP) | 1.A.1.a.iii - Heat Plants
1.A.1.a.i,1.A.1.a.i - Electricity Generation,,,1.A.1.a.i,1.A.1.a.i - Electricity Generation
1.A.1.a.ii,1.A.1.a.ii - Combined Heat and Power Generation (CHP),,,1.A.1.a.ii,1.A.1.a.ii - Combined Heat and Power Generation (CHP)
1.A.1.a.iii,1.A.1.a.iii - Heat Plants,,,1.A.1.a.iii,1.A.1.a.iii - Heat Plants
1.A.1.b,1.A.1.b - Petroleum Refining,1.A.1.b,Petroleum refining,1.A.1.b,1.A.1.b - Petroleum Refining
1.A.1.c,1.A.1.c - Manufacture of Solid Fuels and Other Energy Industries,1.A.1.c,Manufacture of solid fuels and other energy industries,1.A.1.c,1.A.1.c - Manufacture of Solid Fuels and Other Energy Industries
1.A.1.c.i,1.A.1.c.i - Manufacture of Solid Fuels,,,1.A.1.c.i,1.A.1.c.i - Manufacture of Solid Fuels
1.A.1.c.ii,1.A.1.c.ii - Other Energy Industries,,,1.A.1.c.ii,1.A.1.c.ii - Other Energy Industries
1.A.2,1.A.2 - Manufacturing Industries and Construction,,,1.A.2,1.A.2 - Manufacturing Industries and Construction
1.A.2.a,1.A.2.a - Iron and Steel,1.A.2.a,Iron and steel,1.A.2.a,1.A.2.a - Iron and Steel
1.A.2.b,1.A.2.b - Non-Ferrous Metals,1.A.2.b,Non-ferrous metals,1.A.2.b,1.A.2.b - Non-Ferrous Metals
1.A.2.c,1.A.2.c - Chemicals,1.A.2.c,Chemicals,1.A.2.c,1.A.2.c - Chemicals
1.A.2.d,"1.A.2.d - Pulp, Paper and Print",1.A.2.d,"Pulp, paper and print",1.A.2.d,"1.A.2.d - Pulp, Paper and Print"
1.A.2.e,"1.A.2.e - Food Processing, Beverages and Tobacco",1.A.2.e,"Food processing, beverages and tobacco",1.A.2.e,"1.A.2.e - Food Processing, Beverages and Tobacco"
1.A.2.f,1.A.2.f - Non-Metallic Minerals,,,1.A.2.f,1.A.2.f - Non-Metallic Minerals
1.A.2.g,1.A.2.g - Transport Equipment,,,1.A.2.g,1.A.2.g - Transport Equipment
1.A.2.g.vii,Mobile combustion in manufacturing industries and construction: Other (Please specify in your IIR),1.A.2.g.vii,Mobile combustion in manufacturing industries and construction: Other (Please specify in your IIR),,
1.A.2.g.viii,Stationary combustion in manufacturing industries and construction (Please specify in your IIR),1.A.2.g.viii,Stationary combustion in manufacturing industries and construction (Please specify in your IIR),,
