Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
55,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",55,g/GJ,See note in Guidebook chapter,PM2.5,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,18143.8391364104
5.2,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.0052,g/GJ,See note in Guidebook chapter,Ni,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,1.71541751835153
25,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.025,g/GJ,See note in Guidebook chapter,Cu,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,8.24719960745927
5.7,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.0057,g/GJ,See note in Guidebook chapter,Cr,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,1.88036151050071
11,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.011,g/GJ,See note in Guidebook chapter,As,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,3.62876782728208
30,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.03,g/GJ,See note in Guidebook chapter,Hg,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,9.89663952895112
2.9,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.0029,g/GJ,See note in Guidebook chapter,Se,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,0.956675154465275
28,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.028,g/GJ,See note in Guidebook chapter,Pb,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,9.23686356035438
91,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",91,g/GJ,See note in Guidebook chapter,SOx,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,30019.8065711517
79,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",79,g/GJ,See note in Guidebook chapter,PM10,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,26061.1507595713
82,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",82,g/GJ,See note in Guidebook chapter,TSP,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,27050.8147124664
0.8,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.8,g/GJ,See note in Guidebook chapter,NMVOC,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,263.910387438697
21,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",21,g/GJ,See note in Guidebook chapter,NOx,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,6927.64767026579
1.6,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.0016,g/GJ,See note in Guidebook chapter,Cd,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,0.527820774877393
46,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.046,g/GJ,See note in Guidebook chapter,Zn,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,15.1748472777251
6,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",6,g/GJ,See note in Guidebook chapter,CO,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,1979.32790579022
0.001,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",1e-06,g/GJ,See note in Guidebook chapter,"Indeno(1,2,3-cd)pyrene",HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,0.000329887984298371
0.001,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",1e-06,g/GJ,See note in Guidebook chapter,Benzo(k)fluoranthene,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,0.000329887984298371
0.003,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",3e-06,g/GJ,See note in Guidebook chapter,Benzo(b)fluoranthene,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,0.000989663952895113
0.29,mg/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",0.00029,g/GJ,See note in Guidebook chapter,Benzo(a)pyrene,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,0.0956675154465275
26,ng I-TEQ/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",2.6e-08,g/GJ,See note in Guidebook chapter,PCDD/F,HERE,"",1,-23,-46,10,329.887984298371,GJ,2020-01-01,8.57708759175764e-06
55,g/GJ,EMEP,Manufacture of solid fuels and other energy industries,Tier 1 Emission Factor,,Table_5-1,1.A.1.c,NFR,Coal,"",55,g/GJ,See note in Guidebook chapter,PM2.5,HERE,"",1,-23,-46,10,586.228768047177,GJ,2020-02-01,32242.5822425947
