Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,UBA (2019),TSP,HERE,"",1,-23,-46,10,319.415404432653,GJ,2020-01-01,479.12310664898
40,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",40,g/GJ,UBA (2019),SOx,HERE,"",1,-23,-46,10,319.415404432653,GJ,2020-01-01,12776.6161773061
5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",5,g/GJ,UBA (2019),CO,HERE,"",1,-23,-46,10,319.415404432653,GJ,2020-01-01,1597.07702216327
25,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",25,g/GJ,UBA (2019),NOx,HERE,"",1,-23,-46,10,319.415404432653,GJ,2020-01-01,7985.38511081633
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM10,HERE,"",1,-23,-46,10,319.415404432653,GJ,2020-01-01,479.12310664898
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM2.5,HERE,"",1,-23,-46,10,319.415404432653,GJ,2020-01-01,479.12310664898
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,UBA (2019),TSP,HERE,"",1,-23,-46,10,711.796714944789,GJ,2020-02-01,1067.69507241718
40,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",40,g/GJ,UBA (2019),SOx,HERE,"",1,-23,-46,10,711.796714944789,GJ,2020-02-01,28471.8685977916
5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",5,g/GJ,UBA (2019),CO,HERE,"",1,-23,-46,10,711.796714944789,GJ,2020-02-01,3558.98357472394
25,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",25,g/GJ,UBA (2019),NOx,HERE,"",1,-23,-46,10,711.796714944789,GJ,2020-02-01,17794.9178736197
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM10,HERE,"",1,-23,-46,10,711.796714944789,GJ,2020-02-01,1067.69507241718
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM2.5,HERE,"",1,-23,-46,10,711.796714944789,GJ,2020-02-01,1067.69507241718
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,UBA (2019),TSP,HERE,"",1,-23,-46,10,413.856958364835,GJ,2020-03-01,620.785437547252
40,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",40,g/GJ,UBA (2019),SOx,HERE,"",1,-23,-46,10,413.856958364835,GJ,2020-03-01,16554.2783345934
5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",5,g/GJ,UBA (2019),CO,HERE,"",1,-23,-46,10,413.856958364835,GJ,2020-03-01,2069.28479182417
25,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",25,g/GJ,UBA (2019),NOx,HERE,"",1,-23,-46,10,413.856958364835,GJ,2020-03-01,10346.4239591209
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM10,HERE,"",1,-23,-46,10,413.856958364835,GJ,2020-03-01,620.785437547252
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM2.5,HERE,"",1,-23,-46,10,413.856958364835,GJ,2020-03-01,620.785437547252
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,UBA (2019),TSP,HERE,"",1,-23,-46,10,428.182270690538,GJ,2020-04-01,642.273406035807
40,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",40,g/GJ,UBA (2019),SOx,HERE,"",1,-23,-46,10,428.182270690538,GJ,2020-04-01,17127.2908276215
5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",5,g/GJ,UBA (2019),CO,HERE,"",1,-23,-46,10,428.182270690538,GJ,2020-04-01,2140.91135345269
25,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",25,g/GJ,UBA (2019),NOx,HERE,"",1,-23,-46,10,428.182270690538,GJ,2020-04-01,10704.5567672635
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM10,HERE,"",1,-23,-46,10,428.182270690538,GJ,2020-04-01,642.273406035807
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM2.5,HERE,"",1,-23,-46,10,428.182270690538,GJ,2020-04-01,642.273406035807
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,UBA (2019),TSP,HERE,"",1,-23,-46,10,530.012156344651,GJ,2020-05-01,795.018234516977
40,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",40,g/GJ,UBA (2019),SOx,HERE,"",1,-23,-46,10,530.012156344651,GJ,2020-05-01,21200.486253786
5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",5,g/GJ,UBA (2019),CO,HERE,"",1,-23,-46,10,530.012156344651,GJ,2020-05-01,2650.06078172326
25,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",25,g/GJ,UBA (2019),NOx,HERE,"",1,-23,-46,10,530.012156344651,GJ,2020-05-01,13250.3039086163
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM10,HERE,"",1,-23,-46,10,530.012156344651,GJ,2020-05-01,795.018234516977
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,Assumed to be equal to TSP,PM2.5,HERE,"",1,-23,-46,10,530.012156344651,GJ,2020-05-01,795.018234516977
1.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",1.5,g/GJ,UBA (2019),TSP,HERE,"",1,-23,-46,10,407.057579927854,GJ,2020-06-01,610.58636989178
40,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,Coke oven gas,Table_3-5,1.A.1.a,NFR,Blast furnace/Basic O2 furnace gas,"",40,g/GJ,UBA (2019),SOx,HERE,"",1,-23,-46,10,407.057579927854,GJ,2020-06-01,16282.3031971141
