Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,activity,unit_activity,date_activity,emissions
1,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1,% of PM2.5,Kupiainen and Klimont (2007),BC,HERE,"",321.493808754806,GJ,2020-01-01,10.2878018801538
2.1,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.1e-06,g/GJ,"US EPA (1998), chapter 1.7","Indeno(1,2,3-cd)pyrene",HERE,"",321.493808754806,GJ,2020-01-01,0.000675136998385092
1.3,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.3e-06,g/GJ,"US EPA (1998), chapter 1.7",Benzo(a)pyrene,HERE,"",321.493808754806,GJ,2020-01-01,0.000417941951381247
45,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.045,g/GJ,"US EPA (1998), chapter 1.7",Se,HERE,"",321.493808754806,GJ,2020-01-01,14.4672213939663
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",321.493808754806,GJ,2020-01-01,3.21493808754806e-06
1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.001,g/GJ,EMEP/EEA Guidebook (2006),Cu,HERE,"",321.493808754806,GJ,2020-01-01,0.321493808754806
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",321.493808754806,GJ,2020-01-01,1060.92956889086
11.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",11.7,g/GJ,"US EPA (1998), chapter 1.7",TSP,HERE,"",321.493808754806,GJ,2020-01-01,3761.47756243123
9.7,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0097,g/GJ,"US EPA (1998), chapter 1.7",Ni,HERE,"",321.493808754806,GJ,2020-01-01,3.11848994492162
9.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0091,g/GJ,"US EPA (1998), chapter 1.7",Cr,HERE,"",321.493808754806,GJ,2020-01-01,2.92559365966873
2.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0029,g/GJ,"US EPA (1998), chapter 1.7",Hg,HERE,"",321.493808754806,GJ,2020-01-01,0.932332045388937
1.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0018,g/GJ,"US EPA (1998), chapter 1.7",Cd,HERE,"",321.493808754806,GJ,2020-01-01,0.57868885575865
15,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.015,g/GJ,"US EPA (1998), chapter 1.7",Pb,HERE,"",321.493808754806,GJ,2020-01-01,4.82240713132209
7.9,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",7.9,g/GJ,"US EPA (1998), chapter 1.7",PM10,HERE,"",321.493808754806,GJ,2020-01-01,2539.80108916297
8.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0088,g/GJ,EMEP/EEA Guidebook (2006),Zn,HERE,"",321.493808754806,GJ,2020-01-01,2.82914551704229
1680,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1680,g/GJ,See note in Guidebook chapter,SOx,HERE,"",321.493808754806,GJ,2020-01-01,540109.598708074
1.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.4,g/GJ,"US EPA (1998), chapter 1.7",NMVOC,HERE,"",321.493808754806,GJ,2020-01-01,450.091332256728
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.7",CO,HERE,"",321.493808754806,GJ,2020-01-01,2796.99613616681
247,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",247,g/GJ,"US EPA (1998), chapter 1.7",NOx,HERE,"",321.493808754806,GJ,2020-01-01,79408.970762437
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",321.493808754806,GJ,2020-01-01,0.0021540085186572
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",321.493808754806,GJ,2020-01-01,0.00932332045388937
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",321.493808754806,GJ,2020-01-01,0.0118952709239278
3.2,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.2,g/GJ,"US EPA (1998), chapter 1.7",PM2.5,HERE,"",321.493808754806,GJ,2020-01-01,1028.78018801538
14.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0143,g/GJ,"US EPA (1998), chapter 1.7",As,HERE,"",321.493808754806,GJ,2020-01-01,4.59736146519372
0.27,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.00027,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",321.493808754806,GJ,2020-01-01,0.0868033283637976
1,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1,% of PM2.5,Kupiainen and Klimont (2007),BC,HERE,"",289.458386009632,GJ,2020-02-01,9.26266835230821
2.1,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.1e-06,g/GJ,"US EPA (1998), chapter 1.7","Indeno(1,2,3-cd)pyrene",HERE,"",289.458386009632,GJ,2020-02-01,0.000607862610620227
1.3,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.3e-06,g/GJ,"US EPA (1998), chapter 1.7",Benzo(a)pyrene,HERE,"",289.458386009632,GJ,2020-02-01,0.000376295901812521
45,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.045,g/GJ,"US EPA (1998), chapter 1.7",Se,HERE,"",289.458386009632,GJ,2020-02-01,13.0256273704334
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",289.458386009632,GJ,2020-02-01,2.89458386009632e-06
1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.001,g/GJ,EMEP/EEA Guidebook (2006),Cu,HERE,"",289.458386009632,GJ,2020-02-01,0.289458386009632
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",289.458386009632,GJ,2020-02-01,955.212673831785
11.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",11.7,g/GJ,"US EPA (1998), chapter 1.7",TSP,HERE,"",289.458386009632,GJ,2020-02-01,3386.66311631269
9.7,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0097,g/GJ,"US EPA (1998), chapter 1.7",Ni,HERE,"",289.458386009632,GJ,2020-02-01,2.80774634429343
9.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0091,g/GJ,"US EPA (1998), chapter 1.7",Cr,HERE,"",289.458386009632,GJ,2020-02-01,2.63407131268765
2.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0029,g/GJ,"US EPA (1998), chapter 1.7",Hg,HERE,"",289.458386009632,GJ,2020-02-01,0.839429319427932
1.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0018,g/GJ,"US EPA (1998), chapter 1.7",Cd,HERE,"",289.458386009632,GJ,2020-02-01,0.521025094817337
15,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.015,g/GJ,"US EPA (1998), chapter 1.7",Pb,HERE,"",289.458386009632,GJ,2020-02-01,4.34187579014448
7.9,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",7.9,g/GJ,"US EPA (1998), chapter 1.7",PM10,HERE,"",289.458386009632,GJ,2020-02-01,2286.72124947609
8.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0088,g/GJ,EMEP/EEA Guidebook (2006),Zn,HERE,"",289.458386009632,GJ,2020-02-01,2.54723379688476
1680,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1680,g/GJ,See note in Guidebook chapter,SOx,HERE,"",289.458386009632,GJ,2020-02-01,486290.088496181
1.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.4,g/GJ,"US EPA (1998), chapter 1.7",NMVOC,HERE,"",289.458386009632,GJ,2020-02-01,405.241740413484
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.7",CO,HERE,"",289.458386009632,GJ,2020-02-01,2518.2879582838
247,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",247,g/GJ,"US EPA (1998), chapter 1.7",NOx,HERE,"",289.458386009632,GJ,2020-02-01,71496.221344379
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",289.458386009632,GJ,2020-02-01,0.00193937118626453
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",289.458386009632,GJ,2020-02-01,0.00839429319427932
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",289.458386009632,GJ,2020-02-01,0.0107099602823564
3.2,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.2,g/GJ,"US EPA (1998), chapter 1.7",PM2.5,HERE,"",289.458386009632,GJ,2020-02-01,926.266835230821
14.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0143,g/GJ,"US EPA (1998), chapter 1.7",As,HERE,"",289.458386009632,GJ,2020-02-01,4.13925491993773
0.27,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.00027,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",289.458386009632,GJ,2020-02-01,0.0781537642226006
1,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1,% of PM2.5,Kupiainen and Klimont (2007),BC,HERE,"",416.324129182128,GJ,2020-03-01,13.3223721338281
2.1,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.1e-06,g/GJ,"US EPA (1998), chapter 1.7","Indeno(1,2,3-cd)pyrene",HERE,"",416.324129182128,GJ,2020-03-01,0.00087428067128247
1.3,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.3e-06,g/GJ,"US EPA (1998), chapter 1.7",Benzo(a)pyrene,HERE,"",416.324129182128,GJ,2020-03-01,0.000541221367936767
45,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.045,g/GJ,"US EPA (1998), chapter 1.7",Se,HERE,"",416.324129182128,GJ,2020-03-01,18.7345858131958
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",416.324129182128,GJ,2020-03-01,4.16324129182128e-06
1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.001,g/GJ,EMEP/EEA Guidebook (2006),Cu,HERE,"",416.324129182128,GJ,2020-03-01,0.416324129182128
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",416.324129182128,GJ,2020-03-01,1373.86962630102
11.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",11.7,g/GJ,"US EPA (1998), chapter 1.7",TSP,HERE,"",416.324129182128,GJ,2020-03-01,4870.9923114309
9.7,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0097,g/GJ,"US EPA (1998), chapter 1.7",Ni,HERE,"",416.324129182128,GJ,2020-03-01,4.03834405306664
9.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0091,g/GJ,"US EPA (1998), chapter 1.7",Cr,HERE,"",416.324129182128,GJ,2020-03-01,3.78854957555737
2.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0029,g/GJ,"US EPA (1998), chapter 1.7",Hg,HERE,"",416.324129182128,GJ,2020-03-01,1.20733997462817
1.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0018,g/GJ,"US EPA (1998), chapter 1.7",Cd,HERE,"",416.324129182128,GJ,2020-03-01,0.749383432527831
15,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.015,g/GJ,"US EPA (1998), chapter 1.7",Pb,HERE,"",416.324129182128,GJ,2020-03-01,6.24486193773192
7.9,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",7.9,g/GJ,"US EPA (1998), chapter 1.7",PM10,HERE,"",416.324129182128,GJ,2020-03-01,3288.96062053881
8.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",0.0088,g/GJ,EMEP/EEA Guidebook (2006),Zn,HERE,"",416.324129182128,GJ,2020-03-01,3.66365233680273
1680,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1680,g/GJ,See note in Guidebook chapter,SOx,HERE,"",416.324129182128,GJ,2020-03-01,699424.537025976
1.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",1.4,g/GJ,"US EPA (1998), chapter 1.7",NMVOC,HERE,"",416.324129182128,GJ,2020-03-01,582.85378085498
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.7",CO,HERE,"",416.324129182128,GJ,2020-03-01,3622.01992388452
247,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",247,g/GJ,"US EPA (1998), chapter 1.7",NOx,HERE,"",416.324129182128,GJ,2020-03-01,102832.059907986
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",416.324129182128,GJ,2020-03-01,0.00278937166552026
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",416.324129182128,GJ,2020-03-01,0.0120733997462817
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-3,1.A.1.a,NFR,Brown Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",416.324129182128,GJ,2020-03-01,0.0154039927797387
