Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
244,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",244,g/GJ,"US EPA (1998), chapter 1.1",NOx,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,116969.470783718
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",8.7,g/GJ,"US EPA (1998), chapter 1.1",CO,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,4170.63276974732
2.2,% of PM2.5,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",2.2,% of PM2.5,See note in Guidebook chapter,BC,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,32.6939258502032
3.1,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",3.1,g/GJ,"US EPA (1998), chapter 1.1",PM2.5,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,1486.0875386456
6,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",6,g/GJ,"US EPA (1998), chapter 1.1",PM10,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,2876.29846189471
8,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",8,g/GJ,"US EPA (1998), chapter 1.1",TSP,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,3835.06461585961
820,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",820,g/GJ,See note in Guidebook chapter,SOx,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,393094.12312561
0.7,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",0.7,g/GJ,"US EPA (1998), chapter 1.1",NMVOC,HERE,"",1,-23,-46,10,479.383076982451,GJ,2020-01-01,335.568153887716
244,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",244,g/GJ,"US EPA (1998), chapter 1.1",NOx,HERE,"",1,-23,-46,10,535.523768879369,GJ,2020-02-01,130667.799606566
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Wet Bottom Boilers,Table_3-16,1.A.1.a,NFR,"Coking Coal, Steam Coal & Sub-Bituminous Coal","",8.7,g/GJ,"US EPA (1998), chapter 1.1",CO,HERE,"",1,-23,-46,10,535.523768879369,GJ,2020-02-01,4659.05678925051
