Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,activity,unit_activity,date_activity,emissions
11.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",11.4,g/GJ,"US EPA (1998), chapter 1.1",TSP,HERE,"",551.728451759322,GJ,2020-01-01,6289.70435005627
7.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0078,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",551.728451759322,GJ,2020-01-01,4.30348192372271
1.18,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1.18e-06,g/GJ,"US EPA (1998), chapter 1.1","Indeno(1,2,3-cd)pyrene",HERE,"",551.728451759322,GJ,2020-01-01,0.000651039573076
0.74,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.4e-07,g/GJ,"US EPA (1998), chapter 1.1",Benzo(a)pyrene,HERE,"",551.728451759322,GJ,2020-01-01,0.000408279054301898
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",551.728451759322,GJ,2020-01-01,5.51728451759322e-06
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",551.728451759322,GJ,2020-01-01,1820.70389080576
19,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.019,g/GJ,Expert judgement derived from EMEP/EEA Guidebook (2006),Zn,HERE,"",551.728451759322,GJ,2020-01-01,10.4828405834271
4.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0049,g/GJ,"US EPA (1998), chapter 1.1",Ni,HERE,"",551.728451759322,GJ,2020-01-01,2.70346941362068
4.5,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0045,g/GJ,"US EPA (1998), chapter 1.1",Cr,HERE,"",551.728451759322,GJ,2020-01-01,2.48277803291695
7.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0071,g/GJ,"US EPA (1998), chapter 1.1",As,HERE,"",551.728451759322,GJ,2020-01-01,3.91727200749118
1.4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0014,g/GJ,"US EPA (1998), chapter 1.1",Hg,HERE,"",551.728451759322,GJ,2020-01-01,0.772419832463051
0.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",9e-04,g/GJ,"US EPA (1998), chapter 1.1",Cd,HERE,"",551.728451759322,GJ,2020-01-01,0.49655560658339
7.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0073,g/GJ,"US EPA (1998), chapter 1.1",Pb,HERE,"",551.728451759322,GJ,2020-01-01,4.02761769784305
3.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.4,g/GJ,"US EPA (1998), chapter 1.1",PM2.5,HERE,"",551.728451759322,GJ,2020-01-01,1875.87673598169
7.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.7,g/GJ,"US EPA (1998), chapter 1.1",PM10,HERE,"",551.728451759322,GJ,2020-01-01,4248.30907854678
23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.023,g/GJ,"US EPA (1998), chapter 1.1",Se,HERE,"",551.728451759322,GJ,2020-01-01,12.6897543904644
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",551.728451759322,GJ,2020-01-01,0.00369658062678746
820,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",820,g/GJ,See Note in Guidebook Chapter,SOx,HERE,"",551.728451759322,GJ,2020-01-01,452417.330442644
1,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1,g/GJ,"US EPA (1998), chapter 1.1",NMVOC,HERE,"",551.728451759322,GJ,2020-01-01,551.728451759322
209,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",209,g/GJ,"US EPA (1998), chapter 1.1",NOx,HERE,"",551.728451759322,GJ,2020-01-01,115311.246417698
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",551.728451759322,GJ,2020-01-01,0.0204139527150949
2.2,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.2,% of PM2.5,See Note in Guidebook Chapter,BC,HERE,"",551.728451759322,GJ,2020-01-01,41.2692881915973
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",551.728451759322,GJ,2020-01-01,0.0160001251010203
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.1",CO,HERE,"",551.728451759322,GJ,2020-01-01,4800.0375303061
11.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",11.4,g/GJ,"US EPA (1998), chapter 1.1",TSP,HERE,"",511.022389700843,GJ,2020-02-01,5825.65524258961
7.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0078,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",511.022389700843,GJ,2020-02-01,3.98597463966658
1.18,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1.18e-06,g/GJ,"US EPA (1998), chapter 1.1","Indeno(1,2,3-cd)pyrene",HERE,"",511.022389700843,GJ,2020-02-01,0.000603006419846995
0.74,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.4e-07,g/GJ,"US EPA (1998), chapter 1.1",Benzo(a)pyrene,HERE,"",511.022389700843,GJ,2020-02-01,0.000378156568378624
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",511.022389700843,GJ,2020-02-01,5.11022389700843e-06
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",511.022389700843,GJ,2020-02-01,1686.37388601278
19,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.019,g/GJ,Expert judgement derived from EMEP/EEA Guidebook (2006),Zn,HERE,"",511.022389700843,GJ,2020-02-01,9.70942540431602
4.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0049,g/GJ,"US EPA (1998), chapter 1.1",Ni,HERE,"",511.022389700843,GJ,2020-02-01,2.50400970953413
4.5,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0045,g/GJ,"US EPA (1998), chapter 1.1",Cr,HERE,"",511.022389700843,GJ,2020-02-01,2.29960075365379
7.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0071,g/GJ,"US EPA (1998), chapter 1.1",As,HERE,"",511.022389700843,GJ,2020-02-01,3.62825896687599
1.4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0014,g/GJ,"US EPA (1998), chapter 1.1",Hg,HERE,"",511.022389700843,GJ,2020-02-01,0.71543134558118
0.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",9e-04,g/GJ,"US EPA (1998), chapter 1.1",Cd,HERE,"",511.022389700843,GJ,2020-02-01,0.459920150730759
7.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0073,g/GJ,"US EPA (1998), chapter 1.1",Pb,HERE,"",511.022389700843,GJ,2020-02-01,3.73046344481615
3.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.4,g/GJ,"US EPA (1998), chapter 1.1",PM2.5,HERE,"",511.022389700843,GJ,2020-02-01,1737.47612498287
7.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.7,g/GJ,"US EPA (1998), chapter 1.1",PM10,HERE,"",511.022389700843,GJ,2020-02-01,3934.87240069649
23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.023,g/GJ,"US EPA (1998), chapter 1.1",Se,HERE,"",511.022389700843,GJ,2020-02-01,11.7535149631194
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",511.022389700843,GJ,2020-02-01,0.00342385001099565
820,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",820,g/GJ,See Note in Guidebook Chapter,SOx,HERE,"",511.022389700843,GJ,2020-02-01,419038.359554691
1,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1,g/GJ,"US EPA (1998), chapter 1.1",NMVOC,HERE,"",511.022389700843,GJ,2020-02-01,511.022389700843
209,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",209,g/GJ,"US EPA (1998), chapter 1.1",NOx,HERE,"",511.022389700843,GJ,2020-02-01,106803.679447476
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",511.022389700843,GJ,2020-02-01,0.0189078284189312
2.2,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.2,% of PM2.5,See Note in Guidebook Chapter,BC,HERE,"",511.022389700843,GJ,2020-02-01,38.2244747496231
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",511.022389700843,GJ,2020-02-01,0.0148196493013244
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.1",CO,HERE,"",511.022389700843,GJ,2020-02-01,4445.89479039733
11.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",11.4,g/GJ,"US EPA (1998), chapter 1.1",TSP,HERE,"",368.003382457722,GJ,2020-03-01,4195.23856001803
7.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0078,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",368.003382457722,GJ,2020-03-01,2.87042638317023
1.18,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1.18e-06,g/GJ,"US EPA (1998), chapter 1.1","Indeno(1,2,3-cd)pyrene",HERE,"",368.003382457722,GJ,2020-03-01,0.000434243991300112
0.74,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.4e-07,g/GJ,"US EPA (1998), chapter 1.1",Benzo(a)pyrene,HERE,"",368.003382457722,GJ,2020-03-01,0.000272322503018714
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",368.003382457722,GJ,2020-03-01,3.68003382457722e-06
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",368.003382457722,GJ,2020-03-01,1214.41116211048
19,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.019,g/GJ,Expert judgement derived from EMEP/EEA Guidebook (2006),Zn,HERE,"",368.003382457722,GJ,2020-03-01,6.99206426669672
4.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0049,g/GJ,"US EPA (1998), chapter 1.1",Ni,HERE,"",368.003382457722,GJ,2020-03-01,1.80321657404284
4.5,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0045,g/GJ,"US EPA (1998), chapter 1.1",Cr,HERE,"",368.003382457722,GJ,2020-03-01,1.65601522105975
7.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0071,g/GJ,"US EPA (1998), chapter 1.1",As,HERE,"",368.003382457722,GJ,2020-03-01,2.61282401544983
1.4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0014,g/GJ,"US EPA (1998), chapter 1.1",Hg,HERE,"",368.003382457722,GJ,2020-03-01,0.515204735440811
0.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",9e-04,g/GJ,"US EPA (1998), chapter 1.1",Cd,HERE,"",368.003382457722,GJ,2020-03-01,0.33120304421195
7.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0073,g/GJ,"US EPA (1998), chapter 1.1",Pb,HERE,"",368.003382457722,GJ,2020-03-01,2.68642469194137
3.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.4,g/GJ,"US EPA (1998), chapter 1.1",PM2.5,HERE,"",368.003382457722,GJ,2020-03-01,1251.21150035626
7.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.7,g/GJ,"US EPA (1998), chapter 1.1",PM10,HERE,"",368.003382457722,GJ,2020-03-01,2833.62604492446
23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.023,g/GJ,"US EPA (1998), chapter 1.1",Se,HERE,"",368.003382457722,GJ,2020-03-01,8.46407779652761
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",368.003382457722,GJ,2020-03-01,0.00246562266246674
820,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",820,g/GJ,See Note in Guidebook Chapter,SOx,HERE,"",368.003382457722,GJ,2020-03-01,301762.773615332
1,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1,g/GJ,"US EPA (1998), chapter 1.1",NMVOC,HERE,"",368.003382457722,GJ,2020-03-01,368.003382457722
209,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",209,g/GJ,"US EPA (1998), chapter 1.1",NOx,HERE,"",368.003382457722,GJ,2020-03-01,76912.7069336639
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",368.003382457722,GJ,2020-03-01,0.0136161251509357
2.2,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.2,% of PM2.5,See Note in Guidebook Chapter,BC,HERE,"",368.003382457722,GJ,2020-03-01,27.5266530078376
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",368.003382457722,GJ,2020-03-01,0.0106720980912739
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.1",CO,HERE,"",368.003382457722,GJ,2020-03-01,3201.62942738218
11.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",11.4,g/GJ,"US EPA (1998), chapter 1.1",TSP,HERE,"",480.824225588894,GJ,2020-04-01,5481.39617171339
7.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0078,g/GJ,Expert judgement derived from Guidebook (2006),Cu,HERE,"",480.824225588894,GJ,2020-04-01,3.75042895959337
1.18,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1.18e-06,g/GJ,"US EPA (1998), chapter 1.1","Indeno(1,2,3-cd)pyrene",HERE,"",480.824225588894,GJ,2020-04-01,0.000567372586194894
0.74,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.4e-07,g/GJ,"US EPA (1998), chapter 1.1",Benzo(a)pyrene,HERE,"",480.824225588894,GJ,2020-04-01,0.000355809926935781
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,HERE,"",480.824225588894,GJ,2020-04-01,4.80824225588894e-06
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,HERE,"",480.824225588894,GJ,2020-04-01,1586.71994444335
19,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.019,g/GJ,Expert judgement derived from EMEP/EEA Guidebook (2006),Zn,HERE,"",480.824225588894,GJ,2020-04-01,9.13566028618898
4.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0049,g/GJ,"US EPA (1998), chapter 1.1",Ni,HERE,"",480.824225588894,GJ,2020-04-01,2.35603870538558
4.5,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0045,g/GJ,"US EPA (1998), chapter 1.1",Cr,HERE,"",480.824225588894,GJ,2020-04-01,2.16370901515002
7.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0071,g/GJ,"US EPA (1998), chapter 1.1",As,HERE,"",480.824225588894,GJ,2020-04-01,3.41385200168114
1.4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0014,g/GJ,"US EPA (1998), chapter 1.1",Hg,HERE,"",480.824225588894,GJ,2020-04-01,0.673153915824451
0.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",9e-04,g/GJ,"US EPA (1998), chapter 1.1",Cd,HERE,"",480.824225588894,GJ,2020-04-01,0.432741803030004
7.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0073,g/GJ,"US EPA (1998), chapter 1.1",Pb,HERE,"",480.824225588894,GJ,2020-04-01,3.51001684679892
3.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.4,g/GJ,"US EPA (1998), chapter 1.1",PM2.5,HERE,"",480.824225588894,GJ,2020-04-01,1634.80236700224
7.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.7,g/GJ,"US EPA (1998), chapter 1.1",PM10,HERE,"",480.824225588894,GJ,2020-04-01,3702.34653703448
23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.023,g/GJ,"US EPA (1998), chapter 1.1",Se,HERE,"",480.824225588894,GJ,2020-04-01,11.0589571885446
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,HERE,"",480.824225588894,GJ,2020-04-01,0.00322152231144559
820,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",820,g/GJ,See Note in Guidebook Chapter,SOx,HERE,"",480.824225588894,GJ,2020-04-01,394275.864982893
1,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1,g/GJ,"US EPA (1998), chapter 1.1",NMVOC,HERE,"",480.824225588894,GJ,2020-04-01,480.824225588894
209,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",209,g/GJ,"US EPA (1998), chapter 1.1",NOx,HERE,"",480.824225588894,GJ,2020-04-01,100492.263148079
37,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.7e-05,g/GJ,"Wenborn et al., 1999",Benzo(b)fluoranthene,HERE,"",480.824225588894,GJ,2020-04-01,0.0177904963467891
2.2,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.2,% of PM2.5,See Note in Guidebook Chapter,BC,HERE,"",480.824225588894,GJ,2020-04-01,35.9656520740493
29,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",2.9e-05,g/GJ,"Wenborn et al., 1999",Benzo(k)fluoranthene,HERE,"",480.824225588894,GJ,2020-04-01,0.0139439025420779
8.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",8.7,g/GJ,"US EPA (1998), chapter 1.1",CO,HERE,"",480.824225588894,GJ,2020-04-01,4183.17076262337
