Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
0.8,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.8,g/GJ,"US EPA (1998), chapter 1.3",NMVOC,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,292.098195303607
1.36,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.00136,g/GJ,"US EPA (1998), chapter 1.3",Hg,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,0.496566932016132
1.36,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.00136,g/GJ,"US EPA (1998), chapter 1.3",Cd,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,0.496566932016132
4.07,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.00407,g/GJ,"US EPA (1998), chapter 1.3",Pb,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,1.4860495686071
0.8,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.8,g/GJ,"US EPA (1998), chapter 1.3",PM2.5,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,292.098195303607
3.2,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",3.2,g/GJ,"US EPA (1998), chapter 1.3",PM10,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,1168.39278121443
1.36,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.00136,g/GJ,"US EPA (1998), chapter 1.3",Cr,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,0.496566932016132
46.5,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",46.5,g/GJ,See note in Guidebook chapter,SOx,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,16978.2076020222
2.72,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",0.00272,g/GJ,"US EPA (1998), chapter 1.3",Cu,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,0.993133864032265
16.2,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-7,1.A.1.a,NFR,Oil Gas,"",16.2,g/GJ,"US EPA (1998), chapter 1.3",CO,HERE,"",1,-23,-46,10,365.122744129509,GJ,2020-01-01,5914.98845489805
