Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
1.01,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",1.01,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,576.047716203034,GJ,2020-01-01,581.808193365064
0.027,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",0.027,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,HERE,,1,-23,-46,10,576.047716203034,GJ,2020-01-01,15.5532883374819
93.500,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,,93500,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,HERE,,1,-23,-46,10,576.047716203034,GJ,2020-01-01,53860461.4649836
1.01,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",1.01,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,397.918007599123,GJ,2020-02-01,401.897187675114
0.027,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",0.027,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,HERE,,1,-23,-46,10,397.918007599123,GJ,2020-02-01,10.7437862051763
93.500,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,,93500,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,HERE,,1,-23,-46,10,397.918007599123,GJ,2020-02-01,37205333.710518
1.01,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",1.01,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,566.705609243568,GJ,2020-03-01,572.372665336003
0.027,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",0.027,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,HERE,,1,-23,-46,10,566.705609243568,GJ,2020-03-01,15.3010514495763
93.500,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,,93500,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,HERE,,1,-23,-46,10,566.705609243568,GJ,2020-03-01,52986974.4642736
1.01,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with tangential firing in the capacity of 500MW to 560MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Other Bituminous Coal,"Load during measurement about 60% -100%, Flue gas(dry) : O2 5.96 - 6.14%, CO2 11.83 -13.20%",1.01,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,555.988412752468,GJ,2020-04-01,561.548296879993
