Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
181,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.181,g/GJ,"US EPA (2003), chapter 1.6",Zn,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,99.0354718168259
20.6,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.0206,g/GJ,"US EPA (2003), chapter 1.6",Pb,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,11.2714404388211
5,µg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",5e-06,g/GJ,"Bailey, 2001",HCB,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.00273578651427696
0.0374,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",3.74e-05,g/GJ,"US EPA (2003), chapter 1.6","Indeno(1,2,3-cd)pyrene",HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.0204636831267917
0.0155,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",1.55e-05,g/GJ,"US EPA (2003), chapter 1.6",Benzo(k)fluoranthene,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.00848093819425857
0.043,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",4.3e-05,g/GJ,"US EPA (2003), chapter 1.6",Benzo(b)fluoranthene,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.0235277640227818
1.12,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.00112,g/GJ,"US EPA (2003), chapter 1.6",Benzo(a)pyrene,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.612816179198039
3.5,µg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",3.5e-06,g/GJ,"US EPA (2003), chapter 1.6",PCB,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.00191505055999387
1.2,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.0012,g/GJ,"US EPA (2003), chapter 1.6",Se,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.65658876342647
14.2,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.0142,g/GJ,"US EPA (2003), chapter 1.6",Ni,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,7.76963370054656
21.1,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.0211,g/GJ,"US EPA (2003), chapter 1.6",Cu,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,11.5450190902488
9.46,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.00946,g/GJ,"US EPA (2003), chapter 1.6",As,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,5.17610808501201
50,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",5e-08,g/GJ,UNEP (2005) (for clean wood),PCDD/F,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,2.73578651427696e-05
3.3,% of PM2.5,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",3.3,% of PM2.5,See note in Guidebook chapter,BC,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,2401.47340223232
133,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",133,g/GJ,"US EPA (2003), chapter 1.6",PM2.5,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,72771.9212797671
1.76,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.00176,g/GJ,"US EPA (2003), chapter 1.6",Cd,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.96299685302549
155,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",155,g/GJ,"US EPA (2003), chapter 1.6",PM10,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,84809.3819425857
172,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",172,g/GJ,"US EPA (2003), chapter 1.6",TSP,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,94111.0560911274
10.8,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",10.8,g/GJ,"US EPA (2003), chapter 1.6",SOx,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,5909.29887083823
7.31,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",7.31,g/GJ,"US EPA (2003), chapter 1.6",NMVOC,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,3999.71988387291
90,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",90,g/GJ,"Nielsen et al., 2010",CO,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,49244.1572569853
81,g/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",81,g/GJ,"Nielsen et al., 2010",NOx,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,44319.7415312867
9.03,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.00903,g/GJ,"US EPA (2003), chapter 1.6",Cr,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,4.94083044478419
1.51,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.00151,g/GJ,"US EPA (2003), chapter 1.6",Hg,HERE,"",1,-23,-46,10,547.157302855392,GJ,2020-01-01,0.826207527311642
181,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.181,g/GJ,"US EPA (2003), chapter 1.6",Zn,HERE,"",1,-23,-46,10,469.752161948995,GJ,2020-02-01,85.025141312768
20.6,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",0.0206,g/GJ,"US EPA (2003), chapter 1.6",Pb,HERE,"",1,-23,-46,10,469.752161948995,GJ,2020-02-01,9.67689453614929
5,µg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",5e-06,g/GJ,"Bailey, 2001",HCB,HERE,"",1,-23,-46,10,469.752161948995,GJ,2020-02-01,0.00234876080974497
0.0374,mg/GJ,EMEP,Public electricity and heat production,Tier 2 Emission Factor,Dry Bottom Boilers,Table_3-15,1.A.1.a,NFR,Wood and wood waste (clean wood waste),"",3.74e-05,g/GJ,"US EPA (2003), chapter 1.6","Indeno(1,2,3-cd)pyrene",HERE,"",1,-23,-46,10,469.752161948995,GJ,2020-02-01,0.0175687308568924
