Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
0.042,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",4.2e-05,g/GJ,Nielsen et al. 2010,As,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.0148940294691883
0.23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00023,g/GJ,Nielsen et al. 2010,Ni,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.0815625423312694
4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.004,g/GJ,Nielsen et al. 2010,Zn,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,1.41847899706556
10.8,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",10.8,g/GJ,DBFZ (2011),SOx,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,3829.893292077
0.21,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00021,g/GJ,Nielsen et al. 2010,Se,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.0744701473459417
0.96,ng/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",9.6e-10,g/GJ,Nielsen et al. 2010,PCDD/F,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,3.40434959295733e-07
"",mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",,g/GJ,Nielsen et al. 2010,Pb,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,
10,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",10,g/GJ,DBFZ (2011),NMVOC,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,3546.19749266389
0.23,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.23,g/GJ,DBFZ (2011),NH3,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,81.5625423312694
0.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00012,g/GJ,Nielsen et al. 2010,Hg,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.0425543699119667
0.31,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00031,g/GJ,Nielsen et al. 2010,Cu,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.109932122272581
0.18,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00018,g/GJ,Nielsen et al. 2010,Cr,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.06383155486795
156,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",156,g/GJ,DBFZ (2011),CO,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,55320.6808855567
0.002,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",2e-06,g/GJ,Nielsen et al. 2010,Cd,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,0.000709239498532778
198,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",198,g/GJ,DBFZ (2011),NOx,HERE,"",1,-23,-46,10,354.619749266389,GJ,2020-01-01,70214.710354745
0.042,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",4.2e-05,g/GJ,Nielsen et al. 2010,As,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,0.0156192252041849
0.23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00023,g/GJ,Nielsen et al. 2010,Ni,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,0.0855338523086316
4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.004,g/GJ,Nielsen et al. 2010,Zn,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,1.48754525754142
10.8,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",10.8,g/GJ,DBFZ (2011),SOx,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,4016.37219536183
0.21,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.00021,g/GJ,Nielsen et al. 2010,Se,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,0.0780961260209245
0.96,ng/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",9.6e-10,g/GJ,Nielsen et al. 2010,PCDD/F,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,3.57010861809941e-07
"",mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",,g/GJ,Nielsen et al. 2010,Pb,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,
10,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",10,g/GJ,DBFZ (2011),NMVOC,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,3718.86314385355
0.23,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,"",Table_3-9,1.A.1.a,NFR,Biogas,"",0.23,g/GJ,DBFZ (2011),NH3,HERE,"",1,-23,-46,10,371.886314385355,GJ,2020-02-01,85.5338523086316
