Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
1.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.00112,g/GJ,"US EPA (2003), chapter 1.6",Benzo(a)pyrene,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.528136899021432
5,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",5e-06,g/GJ,"Bailey, 2001",HCB,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.00235775401348854
0.0374,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",3.74e-05,g/GJ,"US EPA (2003), chapter 1.6","Indeno(1,2,3-cd)pyrene",HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.0176360000208943
0.043,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",4.3e-05,g/GJ,"US EPA (2003), chapter 1.6",Benzo(b)fluoranthene,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.0202766845160014
50,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",5e-08,g/GJ,UNEP (2005) (for clean wood),PCDD/F,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,2.35775401348854e-05
3.5,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",3.5e-06,g/GJ,"US EPA (2003), chapter 1.6",PCB,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.00165042780944198
181,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.181,g/GJ,"US EPA (2003), chapter 1.6",Zn,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,85.3506952882851
1.2,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0012,g/GJ,"US EPA (2003), chapter 1.6",Se,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.565860963237249
14.2,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0142,g/GJ,"US EPA (2003), chapter 1.6",Ni,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,6.69602139830745
21.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0211,g/GJ,"US EPA (2003), chapter 1.6",Cu,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,9.94972193692163
0.0155,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",1.55e-05,g/GJ,"US EPA (2003), chapter 1.6",Benzo(k)fluoranthene,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.00730903744181447
1.51,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.00151,g/GJ,"US EPA (2003), chapter 1.6",Hg,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.712041712073538
9.03,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.00903,g/GJ,"US EPA (2003), chapter 1.6",Cr,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,4.2581037483603
90,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",90,g/GJ,"Nielsen et al., 2010",CO,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,42439.5722427937
1.76,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.00176,g/GJ,"US EPA (2003), chapter 1.6",Cd,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,0.829929412747965
20.6,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0206,g/GJ,"US EPA (2003), chapter 1.6",Pb,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,9.71394653557277
133,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",133,g/GJ,"US EPA (2003), chapter 1.6",PM2.5,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,62716.2567587951
155,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",155,g/GJ,"US EPA (2003), chapter 1.6",PM10,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,73090.3744181447
172,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",172,g/GJ,"US EPA (2003), chapter 1.6",TSP,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,81106.7380640057
7.31,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",7.31,g/GJ,"US EPA (2003), chapter 1.6",NMVOC,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,3447.03636772024
9.46,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.00946,g/GJ,"US EPA (2003), chapter 1.6",As,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,4.46087059352031
81,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",81,g/GJ,"Nielsen et al., 2010",NOx,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,38195.6150185143
3.3,% of PM2.5,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",3.3,% of PM2.5,See note in Guidebook chapter,BC,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,2069.63647304024
10.8,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",10.8,g/GJ,"US EPA (2003), chapter 1.6",SOx,HERE,"",1,-23,-46,10,471.550802697708,GJ,2020-01-01,5092.74866913524
1.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.00112,g/GJ,"US EPA (2003), chapter 1.6",Benzo(a)pyrene,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,0.441104322735377
5,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",5e-06,g/GJ,"Bailey, 2001",HCB,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,0.00196921572649722
0.0374,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",3.74e-05,g/GJ,"US EPA (2003), chapter 1.6","Indeno(1,2,3-cd)pyrene",HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,0.0147297336341992
0.043,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",4.3e-05,g/GJ,"US EPA (2003), chapter 1.6",Benzo(b)fluoranthene,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,0.0169352552478761
50,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",5e-08,g/GJ,UNEP (2005) (for clean wood),PCDD/F,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,1.96921572649722e-05
3.5,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",3.5e-06,g/GJ,"US EPA (2003), chapter 1.6",PCB,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,0.00137845100854805
181,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.181,g/GJ,"US EPA (2003), chapter 1.6",Zn,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,71.2856092991994
1.2,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0012,g/GJ,"US EPA (2003), chapter 1.6",Se,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,0.472611774359333
14.2,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0142,g/GJ,"US EPA (2003), chapter 1.6",Ni,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,5.59257266325211
21.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-8,1.A.1.a,NFR,Biomass,"",0.0211,g/GJ,"US EPA (2003), chapter 1.6",Cu,HERE,"",1,-23,-46,10,393.843145299444,GJ,2020-02-01,8.31009036581827
