Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
11.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",11.4,g/GJ,"US EPA (1998), chapter 1.1",TSP,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,131851351.884
7.8,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0078,g/GJ,Expert judgement derived from Guidebook (2006),Cu,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,90214.082868
1.18,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1.18e-06,g/GJ,"US EPA (1998), chapter 1.1","Indeno(1,2,3-cd)pyrene",UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,13.6477715108
0.74,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.4e-07,g/GJ,"US EPA (1998), chapter 1.1",Benzo(a)pyrene,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,8.5587719644
10,ng I-TEQ/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",1e-08,g/GJ,UNEP (2005); Coal fired power boilers,PCDD/F,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,0.1156590806
3.3,ng WHO-TEG/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.3,g/GJ,"Grochowalski & Konieczyński, 2008",PCB,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,38167496.598
19,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.019,g/GJ,Expert judgement derived from EMEP/EEA Guidebook (2006),Zn,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,219752.25314
4.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0049,g/GJ,"US EPA (1998), chapter 1.1",Ni,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,56672.949494
4.5,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0045,g/GJ,"US EPA (1998), chapter 1.1",Cr,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,52046.58627
7.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0071,g/GJ,"US EPA (1998), chapter 1.1",As,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,82117.947226
1.4,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0014,g/GJ,"US EPA (1998), chapter 1.1",Hg,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,16192.271284
0.9,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",9e-04,g/GJ,"US EPA (1998), chapter 1.1",Cd,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,10409.317254
7.3,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.0073,g/GJ,"US EPA (1998), chapter 1.1",Pb,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,84431.128838
3.4,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",3.4,g/GJ,"US EPA (1998), chapter 1.1",PM2.5,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,39324087.404
7.7,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",7.7,g/GJ,"US EPA (1998), chapter 1.1",PM10,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,89057492.062
23,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",0.023,g/GJ,"US EPA (1998), chapter 1.1",Se,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,266015.88538
6.7,µg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",6.7e-06,g/GJ,"Grochowalski & Konieczyński, 2008",HCB,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,77.491584002
820,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-2,1.A.1.a,NFR,Hard Coal,"",820,g/GJ,See Note in Guidebook Chapter,SOx,UF,"",2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,9484044609.2
