Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,UF,,2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,42874821.17842
0.056,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",0.056,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,UF,,2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,647690.85136
96.430,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Anthracite,,96430,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,UF,,2204,-23.85222205,-50.3902778,20,11565908.06,GJ,2020-01-01,1115300514225.8
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,UF,,2260,-28.45423334,-48.96906967,20,134164533.5,GJ,2020-01-01,497347925.6845
0.056,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",0.056,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,UF,,2260,-28.45423334,-48.96906967,20,134164533.5,GJ,2020-01-01,7513213.876
96.430,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Anthracite,,96430,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,UF,,2260,-28.45423334,-48.96906967,20,134164533.5,GJ,2020-01-01,12937485965405
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,UF,,2592,-28.45423333,-48.96906967,20,151513395.6,GJ,2020-01-01,561660157.4892
0.056,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",0.056,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,UF,,2592,-28.45423333,-48.96906967,20,151513395.6,GJ,2020-01-01,8484750.1536
96.430,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Anthracite,,96430,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,UF,,2592,-28.45423333,-48.96906967,20,151513395.6,GJ,2020-01-01,14610436737708
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,UF,,2596,-28.45423334,-48.96906967,20,209921231.3,GJ,2020-01-01,778178004.4291
