Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,id,lat,lon,alt,activity,unit_activity,date_activity,emissions
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,393.328869255049,GJ,2020-01-01,1458.07011832847
0.056,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",0.056,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,HERE,,1,-23,-46,10,393.328869255049,GJ,2020-01-01,22.0264166782827
96.430,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Anthracite,,96430,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,HERE,,1,-23,-46,10,393.328869255049,GJ,2020-01-01,37928702.8622643
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,668.872179898488,GJ,2020-02-01,2479.50917088369
0.056,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",0.056,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,HERE,,1,-23,-46,10,668.872179898488,GJ,2020-02-01,37.4568420743153
96.430,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Anthracite,,96430,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,HERE,,1,-23,-46,10,668.872179898488,GJ,2020-02-01,64499344.3076112
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,455.69515978979,GJ,2020-03-01,1689.26195734075
0.056,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",0.056,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",CH4,HERE,,1,-23,-46,10,455.69515978979,GJ,2020-03-01,25.5189289482282
96.430,kg/GJ,IPCC,"1.A.1.a.i - Electricity Generation
",Modeled,Combustion at thermal power plants,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",1.A.1.a.i,IPCC 2006,Anthracite,,96430,g/GJ,"Chernyavskyy M. CO2 emissions from coal-burning thermal power plants of Ukraine since 1990 and the main factors for their calculation // Intern. J. of Energy for a Clean Environment, 2023, 24 (1), 97-113.",CO2,HERE,,1,-23,-46,10,455.69515978979,GJ,2020-03-01,43942684.2585294
3.707,kg/TJ,IPCC,"1.A.1.a.i - Electricity Generation
",Measured,Power Boiler with circulating fluidized bed in the capacity of 200MW,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",1.A.1.a.i,IPCC 2006,Anthracite,"Load during measurement about 60% -100%, Flue gas(dry) : O2 3.65%, CO2 14.5%, CO 59.9ppm",3.707,g/GJ,"Byung Moo Min and et al., Development of Country Specified Greenhouse Gases emission Factor(I) (2008), KEMCO-2007-31, pp 84-85",N2O,HERE,,1,-23,-46,10,397.847107508229,GJ,2020-04-01,1474.819227533
