Value,Unit,source,category,type,tech,table,code,codetype,fuel,tech2,ef,unit,reference,pol,region,other,activity,unit_activity,date_activity,emissions
0.00076,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-07,g/GJ,"Nielsen et al., 2012",Cr,,"",303.229840036452,GJ,2020-01-01,0.000230454678427703
0.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.00012,g/GJ,"Nielsen et al., 2012; DBI 2014",As,,"",303.229840036452,GJ,2020-01-01,0.0363875808043742
0.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1e-04,g/GJ,"Nielsen et al., 2010",Hg,,"",303.229840036452,GJ,2020-01-01,0.0303229840036452
0.00025,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.5e-07,g/GJ,"Nielsen et al., 2012",Cd,,"",303.229840036452,GJ,2020-01-01,7.58074600091129e-05
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Pb,,"",303.229840036452,GJ,2020-01-01,0.000454844760054677
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",PM2.5,,"",303.229840036452,GJ,2020-01-01,269.874557632442
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",TSP,,"",303.229840036452,GJ,2020-01-01,269.874557632442
0.0112,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.12e-05,g/GJ,"US EPA (1998), chapter 1.4",Se,,"",303.229840036452,GJ,2020-01-01,0.00339617420840826
2.6,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.6,g/GJ,"US EPA (1998), chapter 1.4",NMVOC,,"",303.229840036452,GJ,2020-01-01,788.397584094774
39.3,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",39.3,g/GJ,"US EPA (1998), chapter 1.4",CO,,"",303.229840036452,GJ,2020-01-01,11916.9327134325
89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",89,g/GJ,"US EPA (1998), chapter 1.4",NOx,,"",303.229840036452,GJ,2020-01-01,26987.4557632442
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",PM10,,"",303.229840036452,GJ,2020-01-01,269.874557632442
7.6E-05,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-08,g/GJ,"Nielsen et al., 2012",Cu,,"",303.229840036452,GJ,2020-01-01,2.30454678427703e-05
0.00051,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",5.1e-07,g/GJ,"Nielsen et al., 2012",Ni,,"",303.229840036452,GJ,2020-01-01,0.00015464721841859
0.244,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,EU Region,0.244,g/GJ,DBI 2014; Fluxys 2009-2011,SOx,,EU Region,303.229840036452,GJ,2020-01-01,73.9880809688942
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Zn,,"",303.229840036452,GJ,2020-01-01,0.000454844760054677
0.00076,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-07,g/GJ,"Nielsen et al., 2012",Cr,,"",517.314424114234,GJ,2020-02-01,0.000393158962326818
0.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.00012,g/GJ,"Nielsen et al., 2012; DBI 2014",As,,"",517.314424114234,GJ,2020-02-01,0.0620777308937081
0.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1e-04,g/GJ,"Nielsen et al., 2010",Hg,,"",517.314424114234,GJ,2020-02-01,0.0517314424114234
0.00025,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.5e-07,g/GJ,"Nielsen et al., 2012",Cd,,"",517.314424114234,GJ,2020-02-01,0.000129328606028558
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Pb,,"",517.314424114234,GJ,2020-02-01,0.000775971636171351
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",PM2.5,,"",517.314424114234,GJ,2020-02-01,460.409837461668
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",TSP,,"",517.314424114234,GJ,2020-02-01,460.409837461668
0.0112,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.12e-05,g/GJ,"US EPA (1998), chapter 1.4",Se,,"",517.314424114234,GJ,2020-02-01,0.00579392155007942
2.6,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.6,g/GJ,"US EPA (1998), chapter 1.4",NMVOC,,"",517.314424114234,GJ,2020-02-01,1345.01750269701
39.3,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",39.3,g/GJ,"US EPA (1998), chapter 1.4",CO,,"",517.314424114234,GJ,2020-02-01,20330.4568676894
89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",89,g/GJ,"US EPA (1998), chapter 1.4",NOx,,"",517.314424114234,GJ,2020-02-01,46040.9837461668
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",PM10,,"",517.314424114234,GJ,2020-02-01,460.409837461668
7.6E-05,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-08,g/GJ,"Nielsen et al., 2012",Cu,,"",517.314424114234,GJ,2020-02-01,3.93158962326818e-05
0.00051,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",5.1e-07,g/GJ,"Nielsen et al., 2012",Ni,,"",517.314424114234,GJ,2020-02-01,0.000263830356298259
0.244,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,EU Region,0.244,g/GJ,DBI 2014; Fluxys 2009-2011,SOx,,EU Region,517.314424114234,GJ,2020-02-01,126.224719483873
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Zn,,"",517.314424114234,GJ,2020-02-01,0.000775971636171351
0.00076,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-07,g/GJ,"Nielsen et al., 2012",Cr,,"",376.796047996646,GJ,2020-03-01,0.000286364996477451
0.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.00012,g/GJ,"Nielsen et al., 2012; DBI 2014",As,,"",376.796047996646,GJ,2020-03-01,0.0452155257595976
0.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1e-04,g/GJ,"Nielsen et al., 2010",Hg,,"",376.796047996646,GJ,2020-03-01,0.0376796047996646
0.00025,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.5e-07,g/GJ,"Nielsen et al., 2012",Cd,,"",376.796047996646,GJ,2020-03-01,9.41990119991616e-05
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Pb,,"",376.796047996646,GJ,2020-03-01,0.00056519407199497
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",PM2.5,,"",376.796047996646,GJ,2020-03-01,335.348482717015
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",TSP,,"",376.796047996646,GJ,2020-03-01,335.348482717015
0.0112,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.12e-05,g/GJ,"US EPA (1998), chapter 1.4",Se,,"",376.796047996646,GJ,2020-03-01,0.00422011573756244
2.6,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.6,g/GJ,"US EPA (1998), chapter 1.4",NMVOC,,"",376.796047996646,GJ,2020-03-01,979.669724791281
39.3,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",39.3,g/GJ,"US EPA (1998), chapter 1.4",CO,,"",376.796047996646,GJ,2020-03-01,14808.0846862682
89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",89,g/GJ,"US EPA (1998), chapter 1.4",NOx,,"",376.796047996646,GJ,2020-03-01,33534.8482717015
0.89,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.89,g/GJ,"US EPA (1998), chapter 1.4",PM10,,"",376.796047996646,GJ,2020-03-01,335.348482717015
7.6E-05,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-08,g/GJ,"Nielsen et al., 2012",Cu,,"",376.796047996646,GJ,2020-03-01,2.86364996477451e-05
0.00051,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",5.1e-07,g/GJ,"Nielsen et al., 2012",Ni,,"",376.796047996646,GJ,2020-03-01,0.00019216598447829
0.244,g/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,EU Region,0.244,g/GJ,DBI 2014; Fluxys 2009-2011,SOx,,EU Region,376.796047996646,GJ,2020-03-01,91.9382357111817
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Zn,,"",376.796047996646,GJ,2020-03-01,0.00056519407199497
0.00076,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",7.6e-07,g/GJ,"Nielsen et al., 2012",Cr,,"",760.314489005654,GJ,2020-04-01,0.000577839011644297
0.12,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",0.00012,g/GJ,"Nielsen et al., 2012; DBI 2014",As,,"",760.314489005654,GJ,2020-04-01,0.0912377386806785
0.1,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1e-04,g/GJ,"Nielsen et al., 2010",Hg,,"",760.314489005654,GJ,2020-04-01,0.0760314489005654
0.00025,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",2.5e-07,g/GJ,"Nielsen et al., 2012",Cd,,"",760.314489005654,GJ,2020-04-01,0.000190078622251413
0.0015,mg/GJ,EMEP,Public electricity and heat production,Tier 1 Emission Factor,,Table_3-4,1.A.1.a,NFR,Natural Gas,"",1.5e-06,g/GJ,"Nielsen et al., 2012",Pb,,"",760.314489005654,GJ,2020-04-01,0.00114047173350848
