source,code,category
IPCC,,
IPCC,1,"1 - Energy
1.A - Fuel Combustion Activities
1.A.1 - Energy Industries
1.A.1.a - Main Activity Electricity and Heat Production
1.A.1.a.i - Electricity Generation
"
IPCC,1.A,"1.A - Fuel Combustion Activities
"
IPCC,1.A,"1.A - Fuel Combustion Activities
1.A.3.b - Road Transportation
"
IPCC,1.A,"1.A - Fuel Combustion Activities
1.A.3.b - Road Transportation
1.A.3.c - Railways
1.A.3.d - Water-borne Navigation
1.A.3.e.ii - Off-road
"
IPCC,1.A,"1.A - Fuel Combustion Activities
1.A.3.d - Water-borne Navigation
"
IPCC,1.A,"1.A - Fuel Combustion Activities
1.A.1.b - Petroleum Refining
"
IPCC,1.A,"1.A - Fuel Combustion Activities
4.C.1 - Waste Incineration
"
IPCC,1.A.1,"1.A.1 - Energy Industries
"
IPCC,1.A.1,"1.A.1 - Energy Industries
1.A.1.a - Main Activity Electricity and Heat Production
1.A.1.a.i - Electricity Generation
1.A.1.a.ii - Combined Heat and Power Generation (CHP)
1.A.1.a.iii - Heat Plants
"
IPCC,1.A.1,"1.A.1 - Energy Industries
1.A.2 - Manufacturing Industries and Construction
"
IPCC,1.A.1,"1.A.1 - Energy Industries
1.A.4.a - Commercial/Institutional
1.A.4.b - Residential
1.A.4.c - Agriculture/Forestry/Fishing/Fish Farms
1.A.4.c.i - Stationary
"
EMEP,1.A.1.a,Public electricity and heat production
IPCC,1.A.1.a,"1.A.1.a - Main Activity Electricity and Heat Production
1.A.1.a.i - Electricity Generation
1.A.1.a.ii - Combined Heat and Power Generation (CHP)
1.A.1.a.iii - Heat Plants
"
IPCC,1.A.1.a,"1.A.1.a - Main Activity Electricity and Heat Production
"
IPCC,1.A.1.a.i,"1.A.1.a.i - Electricity Generation
"
IPCC,1.A.1.a.ii,"1.A.1.a.ii - Combined Heat and Power Generation (CHP)
"
IPCC,1.A.1.a.iii,"1.A.1.a.iii - Heat Plants
"
EMEP,1.A.1.b,Petroleum refining
IPCC,1.A.1.b,"1.A.1.b - Petroleum Refining
"
EMEP,1.A.1.c,Manufacture of solid fuels and other energy industries
IPCC,1.A.1.c,"1.A.1.c - Manufacture of Solid Fuels and Other Energy Industries
"
IPCC,1.A.1.c.i,"1.A.1.c.i - Manufacture of Solid Fuels
"
IPCC,1.A.1.c.ii,"1.A.1.c.ii - Other Energy Industries
"
IPCC,1.A.2,"1.A.2 - Manufacturing Industries and Construction
"
IPCC,1.A.2,"1.A.2 - Manufacturing Industries and Construction
1.A.4.a - Commercial/Institutional
"
IPCC,1.A.2,"1.A.2 - Manufacturing Industries and Construction
1.A.4.a - Commercial/Institutional
1.A.4.b - Residential
1.A.4.c.ii - Off-road Vehicles and Other Machinery
"
EMEP,1.A.2.a,Iron and steel
IPCC,1.A.2.a,"1.A.2.a - Iron and Steel
"
EMEP,1.A.2.b,Non-ferrous metals
IPCC,1.A.2.b,"1.A.2.b - Non-Ferrous Metals
"
EMEP,1.A.2.c,Chemicals
IPCC,1.A.2.c,"1.A.2.c - Chemicals
"
EMEP,1.A.2.d,"Pulp, paper and print"
IPCC,1.A.2.d,"1.A.2.d - Pulp, Paper and Print
"
EMEP,1.A.2.e,"Food processing, beverages and tobacco"
IPCC,1.A.2.e,"1.A.2.e - Food Processing, Beverages and Tobacco
"
IPCC,1.A.2.f,"1.A.2.f - Non-Metallic Minerals
"
IPCC,1.A.2.g,"1.A.2.g - Transport Equipment
"
EMEP,1.A.2.g.vii,Mobile combustion in manufacturing industries and construction: Other (Please specify in your IIR)
EMEP,1.A.2.g.viii,Stationary combustion in manufacturing industries and construction (Please specify in your IIR)
IPCC,1.A.2.h,"1.A.2.h - Machinery
"
IPCC,1.A.2.j,"1.A.2.j - Wood and wood products
"
